type,date,num1,num2,num3,num4,num5,num6,download_time
Mega Millions,2004-12-24,20,9,22,41,42,10,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2004-12-28,32,38,29,18,43,50,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2004-12-31,47,10,51,45,14,20,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2005-01-04,12,3,7,32,6,30,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2005-01-07,14,15,8,2,51,38,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2005-01-11,24,45,23,35,2,18,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2005-01-14,24,15,19,47,40,50,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2005-01-18,51,28,39,23,10,5,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2005-01-21,27,40,17,41,39,21,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2005-01-25,2,45,10,21,25,22,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2005-01-28,39,31,52,47,25,43,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2005-02-01,44,17,21,3,42,35,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2005-02-04,12,3,30,14,52,34,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2005-02-08,8,14,25,11,23,21,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2005-02-11,21,50,24,6,14,28,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2005-02-15,21,38,3,20,16,10,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2005-02-18,19,35,42,1,31,34,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2005-02-22,18,28,41,45,15,27,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2005-02-25,50,38,13,37,4,24,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2005-03-01,48,39,18,8,1,1,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2005-03-04,7,13,10,39,35,21,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2005-03-08,14,8,22,31,15,13,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2005-03-11,35,36,18,31,19,17,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2005-03-15,14,34,26,27,44,27,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2005-03-18,9,48,29,2,28,33,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2005-03-22,11,43,37,27,6,34,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2005-03-25,19,11,49,18,45,2,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2005-03-29,42,17,18,30,7,38,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2005-04-01,28,11,32,19,45,10,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2005-04-05,45,4,19,51,52,22,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2005-04-08,35,13,5,17,33,35,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2005-04-12,20,47,43,50,15,24,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2005-04-15,37,26,49,39,25,29,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2005-04-19,42,14,5,47,6,3,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2005-04-22,49,46,25,23,43,26,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2005-04-26,33,42,18,34,22,16,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2005-04-29,7,2,28,46,5,21,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2005-05-03,46,42,17,7,52,47,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2005-05-06,12,25,51,50,7,19,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2005-05-10,40,38,25,42,11,40,"2024-11-16, 11:54:38 PM CST"
Mega Millions,2005-05-13,39,27,23,21,33,8,"2024-11-16, 11:54:38 PM CST"
